what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1403641892163
locale,sysinfo,,,"es_ES",1403641892163
processors,sysinfo,,,"4",1403641892163
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403641892163
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1403641892163
java.specification.name,sysinfo,,,"Java Platform API Specification",1403641892163
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403641892163
java.specification.version,sysinfo,,,"1.6",1403641892163
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403641892163
java.version,sysinfo,,,"1.6.0_22",1403641892163
java.vm.info,sysinfo,,,"mixed mode, sharing",1403641892163
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1403641892163
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403641892163
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403641892163
java.vm.specification.version,sysinfo,,,"1.0",1403641892163
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403641892163
java.vm.version,sysinfo,,,"17.1-b03",1403641892163
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641895794
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641897438
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1403641897455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641902055
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1403641904769
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1403641904773
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1403641904775
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1403641904851
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1403641905102
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1403641905117
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1403641905118
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1403641905203
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1403641905544
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1403641905554
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1403641905840
started,bundle,org.eclipse.pde,3.4.100.v201002111343,"org.eclipse.pde",1403641910632
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1403641912515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1403641920434
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1403641924150
opened,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1403641924416
activated,perspective,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui.PDEPerspective",1403641924456
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1403641924461
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1403641926341
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1403641926469
